Measure,Location,Sex,Age,Cause,Risk,Metric,Year,Value,Upper,Lower
Deaths,Saint Vincent and the Grenadines,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,33.32293452,55.98938941,13.57904217
Deaths,Saint Vincent and the Grenadines,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,28.8352897,48.18663322,12.00865783
Deaths,Paraguay,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,635.5290716,972.5640461,387.2530977
Deaths,Paraguay,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,409.8388596,636.4488512,246.1749982
Deaths,Puerto Rico,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,221.826246,417.5100155,49.22715395
Deaths,Trinidad and Tobago,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,497.5978602,860.2053922,180.777342
Deaths,Trinidad and Tobago,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,392.4540054,671.9627059,149.0112363
Deaths,Guyana,Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,226.3715878,399.6776082,98.31604709
Deaths,Guyana,Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,184.8297599,328.3598007,79.51429099
Deaths,Bolivia (Plurinational State of),Male,All ages,All causes,Ambient particulate matter pollution,Number,2019,2009.582784,2921.962693,1212.945919
Deaths,Bolivia (Plurinational State of),Female,All ages,All causes,Ambient particulate matter pollution,Number,2019,1875.572311,2764.011167,1134.357597
DALYs,Barbados,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,1713.43114,2905.848407,659.8641486
DALYs,Barbados,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,1729.535466,2905.268993,652.1554653
DALYs,Argentina,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,197789.9786,353238.5065,83258.33834
DALYs,Argentina,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,112330.158,199458.487,45083.76684
DALYs,Peru,Male,All ages,All causes,Ambient particulate matter pollution,Number,1990,165045.8639,283739.7983,79373.00247
DALYs,Peru,Female,All ages,All causes,Ambient particulate matter pollution,Number,1990,134680.8742,244021.8359,64960.45075
